Anaa Airport,AAA
Arrabury Airport,AAB
El Arish International Airport,AAC
Adado Airport,AAD
Rabah Bitat Airport,AAE
Apalachicola Regional Airport,AAF
Avelino Vieira Airport,AAG
Aachen-MerzbrÃ¼ck Airport,AAH
Arraias Airport,AAI
Cayana Airstrip,AAJ
Aranuka Airport,AAK
Aalborg Airport,AAL
Malamala Airport,AAM
Al Ain International Airport,AAN
Anaco Airport,AAO
Aji Pangeran Tumenggung Pranoto International Airport,AAP
Anapa Vityazevo Airport,AAQ
Aarhus Airport,AAR
Apalapsili Airport,AAS
Altay Air Base,AAT
Asau Airport,AAU
Allah Valley Airport,AAV
Romeu Zema Airport,AAX
Al Ghaidah International Airport,AAY
Quezaltenango Airport,AAZ
Abakan Airport,ABA
Asaba International Airport,ABB
Albacete-Los Llanos Airport,ABC
Abadan Airport,ABD
Lehigh Valley International Airport,ABE
Abaiang Airport,ABF
Abingdon Downs Airport,ABG
Alpha Airport,ABH
Abilene Regional Airport,ABI
Port Bouet Airport,ABJ
Kabri Dehar Airport,ABK
Ambler Airport,ABL
Northern Peninsula Airport,ABM
Albina Airport,ABN
Aboisso Airport,ABO
Atkamba Airport,ABP
Albuquerque International Sunport,ABQ
Aberdeen Regional Airport,ABR
Abu Simbel Airport,ABS
Al Baha Airport,ABT
Haliwen Airport,ABU
Nnamdi Azikiwe International Airport,ABV
Abau Airport,ABW
Albury Airport,ABX
Southwest Georgia Regional Airport,ABY
Aberdeen Dyce Airport,ABZ
General Juan N Alvarez International Airport,ACA
Antrim County Airport,ACB
Kotoka International Airport,ACC
Alcides FernÃ¡ndez Airport,ACD
Lanzarote Airport,ACE
Brisbane Archerfield Airport,ACF
St Gallen Altenrhein Airport,ACH
Alderney Airport,ACI
Anuradhapura Air Force Base,ACJ
Nantucket Memorial Airport,ACK
Aguaclara Airport,ACL
Arica Airport,ACM
Ciudad AcuÃ±a New International Airport,ACN
Ascona Airport,ACO
Sahand Airport,ACP
Araracuara Airport,ACR
Achinsk Airport,ACS
Waco Regional Airport,ACT
Achutupo Airport,ACU
California Redwood Coast-Humboldt County Airport,ACV
Xingyi Airport,ACX
Atlantic City International Airport,ACY
Zabol Airport,ACZ
Adana Airport,ADA
Adnan Menderes International Airport,ADB
Andakombe Airport,ADC
Addis Ababa Bole International Airport,ADD
Aden International Airport,ADE
AdÄ±yaman Airport,ADF
Lenawee County Airport,ADG
Aldan Airport,ADH
Arandis Airport,ADI
Amman-Marka International Airport,ADJ
Adak Airport,ADK
Adelaide International Airport,ADL
Ardmore Municipal Airport,ADM
Andes Airport,ADN
Andamooka Airport,ADO
Ampara Airport,ADP
Kodiak Airport,ADQ
Robert F Swinnie Airport,ADR
Addison Airport,ADS
Ada Regional Airport,ADT
Ardabil Airport,ADU
El Daein Airport,ADV
Joint Base Andrews,ADW
RAF Leuchars,ADX
Alldays Airport,ADY
Gustavo Rojas Pinilla International Airport,ADZ
Abemama Atoll Airport,AEA
Baise Youjiang Airport,AEB
Adareil Airport,AEE
Aek Godang Airport,AEG
Abeche Airport,AEH
Algeciras Heliport,AEI
Aseki Airport,AEK
Albert Lea Municipal Airport,AEL
Amgu Airport,AEM
Aioun el Atrouss Airport,AEO
Jorge Newbery Airpark,AEP
Ar Horqin Airport,AEQ
Sochi International Airport,AER
"Ãlesund Airport",AES
Allakaket Airport,AET
Abu Musa Island Airport,AEU
Alexandria International Airport,AEX
Akureyri Airport,AEY
Suboficial Ay Santiago Germano Airport,AFA
Port Alfred Airport,AFD
USAF Academy Airfield,AFF
Amalfi Airport,AFI
Kondavattavana Tank Seaplane Base,AFK
Piloto Osvaldo Marques Dias Airport,AFL
Jaffrey Airport Silver Ranch Airport,AFN
Afton Municipal Airport,AFO
Afore Airstrip,AFR
Sugraly Airport,AFS
Afutara Aerodrome,AFT
Fort Worth Alliance Airport,AFW
Afyon Airport,AFY
Sabzevar National Airport,AFZ
Al Massira Airport,AGA
Augsburg Airport,AGB
Allegheny County Airport,AGC
Anggi Airport,AGD
Wangerooge Airport,AGE
Agen-La Garenne Airport,AGF
Angoram Airport,AGG
Ãngelholm-Helsingborg Airport,AGH
Wageningen Airstrip,AGI
Aguni Airport,AGJ
Kagua Airport,AGK
Wanigela Airport,AGL
Tasiilaq Heliport,AGM
Angoon Seaplane Base,AGN
Ralph C Weiser Field,AGO
MÃ¡laga Airport,AGP
Agrinion Air Base,AGQ
Agra Airport,AGR
Augusta Regional At Bush Field,AGS
Guarani International Airport,AGT
JesÃºs TerÃ¡n Paredo International Airport,AGU
Oswaldo Guevara Mujica Airport,AGV
Agnew Airport,AGW
Agatti Airport,AGX
Argyle Downs Airport,AGY
Aggeneys Airport,AGZ
Abha Regional Airport,AHB
Amedee Army Air Field,AHC
Ardmore Downtown Executive Airport,AHD
Ahe Airport,AHE
Arapahoe Municipal Airport,AHF
Amery Municipal Airport,AHH
Amahai Airport,AHI
Hongyuan Airport,AHJ
Aishalton Airport,AHL
Ashland Municipal Sumner Parker Field,AHM
Athens Ben Epps Airport,AHN
Alghero-Fertilia Airport,AHO
Ahuas Airport,AHS
Amchitka Army Airfield,AHT
Amchitka Army Airfield,AHT
Cherif Al Idrissi Airport,AHU
Ambatolhy Airport,AHY
Altiport L'Alpe d'Huez - Henri GIRAUD,AHZ
Alliance Municipal Airport,AIA
Ailinglaplap Airok Airport,AIC
Anderson Municipal Darlington Field,AID
Aiome Airport,AIE
Marcelo Pires Halzhausen Airport,AIF
Yalinga Airport,AIG
Aiambak Airport,AIH
Ali-Sabieh Airport,AII
Aiken Regional Airport,AIK
Alligandi Airport,AIL
Ailuk Airport,AIM
Wainwright Airport,AIN
Atlantic Municipal Airport,AIO
Adampur Airport,AIP
AripuanÃ£ Airport,AIR
Arorae Island Airport,AIS
Aitutaki Airport,AIT
Enua Airport,AIU
George Downer Airport,AIV
Ai-Ais Airport,AIW
Atlantic City Municipal Bader Field,AIY
Lee C Fine Memorial Airport,AIZ
Ajaccio-NapolÃ©on Bonaparte Airport,AJA
Al-Jawf Domestic Airport,AJF
AÄrÄ± Airport,AJI
Akjoujt Airport,AJJ
Arak Airport,AJK
Lengpui Airport,AJL
Ouani Airport,AJN
Arvidsjaur Airport,AJR
Abreojos Airport,AJS
Santa Maria Airport,AJU
Mano Dayak International Airport,AJY
Ankang Wulipu Airport,AKA
Atka Airport,AKB
Akron Fulton International Airport,AKC
Akola Airport,AKD
Akieni Airport,AKE
Kufra Airport,AKF
Anguganak Airport,AKG
Prince Sultan Air Base,AKH
Akiak Airport,AKI
Asahikawa Airport,AKJ
Akhiok Airport,AKK
Auckland International Airport,AKL
Zakuoma Airport,AKM
King Salmon Airport,AKN
Colorado Plains Regional Airport,AKO
Anaktuvuk Pass Airport,AKP
Gunung Batin Airport,AKQ
Akure Airport,AKR
Gwaunaru'u Airport,AKS
RAF Akrotiri,AKT
Aksu Airport,AKU
Akulivik Airport,AKV
Aghajari Airport,AKW
Aktobe Airport,AKX
Sittwe Airport,AKY
Almaty Airport,ALA
Albany International Airport,ALB
Alicante International Airport,ALC
Alerta Airport,ALD
Alpine Casparis Municipal Airport,ALE
Alta Airport,ALF
Houari Boumediene Airport,ALG
Albany Airport,ALH
Alice International Airport,ALI
Alexander Bay Airport,ALJ
Villanova D'Albenga International Airport,ALL
Alamogordo White Sands Regional Airport,ALM
St Louis Regional Airport,ALN
Waterloo Regional Airport,ALO
Aleppo International Airport,ALP
Alegrete Novo Airport,ALQ
Alexandra Airport,ALR
San Luis Valley Regional Bergman Field,ALS
Alenquer Airport,ALT
Alula Airport,ALU
Andorra la Vella Heliport,ALV
Walla Walla Regional Airport,ALW
Thomas C Russell Field,ALX
El Nouzha Airport,ALY
Alitak Seaplane Base,ALZ
Rick Husband Amarillo International Airport,AMA
Ambilobe Airport,AMB
Am Timan Airport,AMC
Sardar Vallabhbhai Patel International Airport,AMD
Alto Molocue Airport,AME
Ama Airport,AMF
Arba Minch Airport,AMH
Selaparang Airport,AMI
Cirilo QueirÃ³z Airport,AMJ
Animas Air Park,AMK
Puerto Armuelles Airport,AML
Queen Alia International Airport,AMM
Gratiot Community Airport,AMN
Mao Airport,AMO
Ampanihy Airport,AMP
"Pattimura Airport, Ambon",AMQ
Amsterdam Airport Schiphol,AMS
Amata Airport,AMT
Amanab Airport,AMU
Amderma Airport,AMV
Ames Municipal Airport,AMW
Ammaroo Airport,AMX
Ambatomainty Airport,AMY
Ardmore Airport,AMZ
Angama Airport,ANA
Anniston Regional Airport,ANB
Ted Stevens Anchorage International Airport,ANC
Anderson Regional Airport,AND
Angers-Loire Airport,ANE
AndrÃ©s Sabella GÃ¡lvez International Airport,ANF
AngoulÃªme-Brie-Champniers Airport,ANG
Anuha Island Resort Airport,ANH
Aniak Airport,ANI
Zanaga Airport,ANJ
Etimesgut Air Base,ANK
Andulo Airport,ANL
Antsirabato Airport,ANM
Annette Island Airport,ANN
Angoche Airport,ANO
Lee Airport,ANP
Tri State Steuben County Airport,ANQ
Antwerp International Airport (Deurne),ANR
Andahuaylas Airport,ANS
V.C. Bird International Airport,ANU
Anvik Airport,ANV
Ainsworth Regional Airport,ANW
AndÃ¸ya Airport,ANX
Anthony Municipal Airport,ANY
Angus Downs Airport,ANZ
Aroa Airport,AOA
Annanberg Airport,AOB
Altenburg-Nobitz Airport,AOC
Abou-DeÃ¯a Airport,AOD
Anadolu Airport,AOE
Anshan Air Base,AOG
Lima Allen County Airport,AOH
Ancona Falconara Airport,AOI
Aomori Airport,AOJ
Karpathos Airport,AOK
Paso De Los Libres Airport,AOL
Adam Airport,AOM
Altoona Blair County Airport,AOO
Alferez FAP Alfredo Vladimir Sara Bauer Airport,AOP
Aappilattoq (Qaasuitsup) Heliport,AOQ
Sultan Abdul Halim Airport,AOR
Amook Bay Seaplane Base,AOS
Aosta Airport,AOT
Attopeu Airport,AOU
Centennial Airport,APA
Apolo Airport,APB
Napa County Airport,APC
San Juan Aposento Airport,APE
Naples Municipal Airport,APF
Phillips Army Air Field,APG
A P Hill AAF (Fort A P Hill) Airport,APH
Gomez Nino Apiay Air Base,API
Apataki Airport,APK
Nampula Airport,APL
Alpena County Regional Airport,APN
Antonio Roldan Betancourt Airport,APO
Asapa Airport,APP
Arapiraca Airport,APQ
April River Airport,APR
AnÃ¡polis Airport,APS
Marion County Brown Field,APT
Captain JoÃ£o Busse Airport,APU
Apple Valley Airport,APV
Faleolo International Airport,APW
Arapongas Airport,APX
Alto ParnaÃ­ba Airport,APY
Zapala Airport,APZ
Araraquara Airport,AQA
Santa Cruz del Quiche Airport,AQB
Anqing Tianzhushan Airport,AQG
Al Qaisumah/Hafr Al Batin Airport,AQI
Aqaba King Hussein International Airport,AQJ
Nova Vida Airport,AQM
RodrÃ­guez BallÃ³n International Airport,AQP
Biaugunu Airport,AQS
Girdwood Airport,AQY
Acadiana Regional Airport,ARA
Ann Arbor Municipal Airport,ARB
Arctic Village Airport,ARC
